# This document produced by structureHarvester core version vB.1 July 2022
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vB.1 July 2022
# File generated at 2026-Apr-08 11:32:41 CDT
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	5	-22631.040000	0.563915
2	5	-19373.540000	0.313050
3	5	-18230.840000	250.838271
4	5	-17460.740000	223.400197
5	5	-16713.360000	88.433862
6	5	-15993.920000	60.420667
7	5	-15719.980000	286.349240
8	5	-15200.680000	114.998161
9	5	-14979.980000	277.808886
10	5	-14408.120000	297.276028
11	5	-14277.500000	181.255662
12	5	-13886.620000	317.037540
13	5	-13579.840000	243.872668

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
structure_600k1M_K01_run04_004_f	004	1	-22630.5	-22569.4	122.3
structure_600k1M_K01_run03_003_f	003	1	-22630.9	-22569.4	123.0
structure_600k1M_K01_run05_005_f	005	1	-22630.9	-22569.4	123.0
structure_600k1M_K01_run01_001_f	001	1	-22630.9	-22569.4	123.1
structure_600k1M_K01_run02_002_f	002	1	-22632.0	-22569.3	125.3
structure_600k1M_K02_run05_010_f	010	2	-19373.2	-19237.0	272.4
structure_600k1M_K02_run02_007_f	007	2	-19374.0	-19237.0	274.1
structure_600k1M_K02_run04_009_f	009	2	-19373.3	-19237.0	272.7
structure_600k1M_K02_run03_008_f	008	2	-19373.6	-19237.0	273.1
structure_600k1M_K02_run01_006_f	006	2	-19373.6	-19237.0	273.2
structure_600k1M_K13_run03_063_f	063	13	-13382.3	-12951.6	861.4
structure_600k1M_K13_run04_064_f	064	13	-13914.5	-13463.9	901.4
structure_600k1M_K13_run02_062_f	062	13	-13459.6	-13010.8	897.8
structure_600k1M_K13_run01_061_f	061	13	-13381.3	-12951.8	859.1
structure_600k1M_K13_run05_065_f	065	13	-13761.5	-13313.7	895.5
structure_600k1M_K11_run04_054_f	054	11	-14414.5	-14002.3	824.4
structure_600k1M_K11_run03_053_f	053	11	-13968.7	-13581.0	775.5
structure_600k1M_K11_run05_055_f	055	11	-14369.2	-13957.1	824.2
structure_600k1M_K11_run01_051_f	051	11	-14370.8	-13957.3	826.9
structure_600k1M_K11_run02_052_f	052	11	-14264.3	-13850.3	828.0
structure_600k1M_K09_run02_042_f	042	9	-15203.4	-14829.1	748.7
structure_600k1M_K09_run01_041_f	041	9	-15000.7	-14653.1	695.1
structure_600k1M_K09_run05_045_f	045	9	-14807.3	-14442.5	729.6
structure_600k1M_K09_run03_043_f	043	9	-14608.1	-14258.6	699.0
structure_600k1M_K09_run04_044_f	044	9	-15280.4	-14903.4	754.0
structure_600k1M_K08_run01_036_f	036	8	-15163.0	-14824.7	676.7
structure_600k1M_K08_run03_038_f	038	8	-15077.1	-14731.5	691.3
structure_600k1M_K08_run05_040_f	040	8	-15288.6	-14942.9	691.4
structure_600k1M_K08_run02_037_f	037	8	-15350.9	-14993.8	714.1
structure_600k1M_K08_run04_039_f	039	8	-15123.8	-14778.0	691.7
structure_600k1M_K12_run02_057_f	057	12	-13945.5	-13525.1	840.8
structure_600k1M_K12_run04_059_f	059	12	-13906.2	-13476.5	859.3
structure_600k1M_K12_run03_058_f	058	12	-14360.2	-13929.5	861.3
structure_600k1M_K12_run01_056_f	056	12	-13714.4	-13284.2	860.4
structure_600k1M_K12_run05_060_f	060	12	-13506.8	-13095.7	822.2
structure_600k1M_K07_run02_032_f	032	7	-15420.7	-15116.6	608.1
structure_600k1M_K07_run01_031_f	031	7	-15496.7	-15179.8	633.9
structure_600k1M_K07_run05_035_f	035	7	-15851.0	-15545.2	611.4
structure_600k1M_K07_run03_033_f	033	7	-16133.4	-15802.5	661.8
structure_600k1M_K07_run04_034_f	034	7	-15698.1	-15361.7	672.9
structure_600k1M_K03_run02_012_f	012	3	-17992.2	-17820.2	344.0
structure_600k1M_K03_run01_011_f	011	3	-17992.3	-17820.3	343.9
structure_600k1M_K03_run05_015_f	015	3	-18586.9	-18391.4	391.0
structure_600k1M_K03_run03_013_f	013	3	-18334.5	-18159.5	350.0
structure_600k1M_K03_run04_014_f	014	3	-18248.3	-18063.7	369.4
structure_600k1M_K06_run02_027_f	027	6	-15941.4	-15643.8	595.3
structure_600k1M_K06_run05_030_f	030	6	-15980.0	-15710.6	538.9
structure_600k1M_K06_run04_029_f	029	6	-16023.5	-15744.8	557.3
structure_600k1M_K06_run01_026_f	026	6	-15941.3	-15644.1	594.4
structure_600k1M_K06_run03_028_f	028	6	-16083.4	-15796.5	573.9
structure_600k1M_K04_run04_019_f	019	4	-17636.3	-17060.3	1152.0
structure_600k1M_K04_run02_017_f	017	4	-17561.9	-17329.0	465.8
structure_600k1M_K04_run05_020_f	020	4	-17198.7	-16976.4	444.6
structure_600k1M_K04_run03_018_f	018	4	-17241.5	-17031.6	419.8
structure_600k1M_K04_run01_016_f	016	4	-17665.3	-17444.1	442.5
structure_600k1M_K05_run04_024_f	024	5	-16721.9	-16452.8	538.2
structure_600k1M_K05_run03_023_f	023	5	-16689.7	-16431.3	516.7
structure_600k1M_K05_run05_025_f	025	5	-16763.7	-16484.0	559.5
structure_600k1M_K05_run01_021_f	021	5	-16578.5	-16323.7	509.5
structure_600k1M_K05_run02_022_f	022	5	-16813.0	-16530.5	565.1
structure_600k1M_K10_run01_046_f	046	10	-14491.0	-14111.9	758.1
structure_600k1M_K10_run03_048_f	048	10	-14251.4	-13871.4	760.1
structure_600k1M_K10_run04_049_f	049	10	-14295.7	-13919.7	752.1
structure_600k1M_K10_run02_047_f	047	10	-14883.4	-14486.8	793.2
structure_600k1M_K10_run05_050_f	050	10	-14119.1	-13725.0	788.3

Software written by Dent Earl while at EEB Dept, UCLA, BME Dept UCSC
dearl (a) soe ucsc edu
CITATION:
Earl, Dent A. and vonHoldt, Bridgett M. (2012)
