species,state_region,voucher_code_clean,population_numeric_code,table1_population_code_raw,table1_population_code,table3_population_raw,geographic_area,workbook_voucher_code_raw,workbook_population_code,pg_population_label,collector,locality,ecoregion,lat_table1,long_table1,lat_pglo_coordinates,long_pglo_coordinates,lat_workbook,long_workbook,n_samples_table1,n_samples_table3,population_aliases,alias_notes
P. filiformis,MO,MO10,10,PfMO10*,PfMO10,PfMO10,MO,MO10*,PfMO10,NA,Edwards 281,"Greene County, MO; Wilsons Creek - Wire Road",Ozark Plateau,37.092000000000006,-93.415,NA,NA,37.092000000000006,-93.415,6,6,PfMO10* | PfMO10 | MO10*,Table 1 includes an asterisk suffix for previously published outgroup samples
P. filiformis,MO,MO11,11,PfMO11*,PfMO11,PfMO11,MO,MO11*,PfMO11,NA,Edwards 282,"Greene County, MO; Wilsons Creek - Bloody Hill",Ozark Plateau,37.1044,-93.41138000000001,NA,NA,37.104400000000005,-93.41138,7,7,PfMO11* | PfMO11 | MO11*,Table 1 includes an asterisk suffix for previously published outgroup samples
P. filiformis,MO,MO6,6,PfMO6*,PfMO6,PfMO6,MO,MO6*,PfMO6,NA,Rimer s.n. (MO),"Greene County, MO; Seepside Glade",Ozark Plateau,37.296224,-93.40606700000001,NA,NA,37.296224,-93.406067,4,4,PfMO6* | PfMO6 | MO6*,Table 1 includes an asterisk suffix for previously published outgroup samples
P. globosa,EX-S,348,348,Pgl348_EXS,Pgl348_EXS,Pgl348_EXS,EX-S,348,Pgl348_EXS,Pg348,"Edwards, Linan and Littlefield 348 (MO)","KY, Franklin, Cove Spring reintroduction (EO30),  source: KY EOs18 and 28",Ex situ,38.220000000000006,-84.84,NA,NA,38.22032000000001,-84.84416303,24,24,Pgl348_EXS | 348 | Pg348,NA
P. globosa,EX-S,353,353,Pgl353_EXS,Pgl353_EXS,Pgl353_EXS,EX-S,353,Pgl353_EXS,Pg353,"Edwards, Linan and Littlefield (MO)","KY, Jessamine Creek Gorge Preserve source: Julian Campbell’s yard (see 355)",Ex situ,37.83,-84.64,NA,NA,37.83057299000001,-84.64093197,24,24,Pgl353_EXS | 353 | Pg353,"PG_All.csv header row shows 253, while sample labels and other tables use 353"
P. globosa,EX-S,355,355,Pgl355_EXS,Pgl355_EXS,Pgl355_EXS,EX-S,355,Pgl355_EXS,Pg355,"Edwards, Linan and Littlefield (MO)","KY—Julian Campbell's yard in Lexington KY source: IN, KY (Jessamine county), TN (Davidson Co)",Ex situ,37.98,-84.49189000000001,NA,NA,37.98322898,-84.49189,26,24,Pgl355_EXS | 355 | Pg355,NA
P. globosa,IN,346,346,Pgl346_IN,Pgl346_IN,Pgl346_IN,IN,346,Pgl346_IN,Pg346,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,Pgl346_IN | 346 | Pg346,NA
P. globosa,KY,347,347,Pgl347_KY,Pgl347_KY,Pgl347_KY,KY,347,Pgl347_KY,Pg347,"Edwards, Linan and Littlefield 347 (MO)","KY, Franklin, EO 18, Cove Spring, Area North of parking lot on 127, just north of its intersection with 421 (EO18)",Bluegrass,38.220000000000006,-84.85,38.22313003,-84.85670001,38.223130030000014,-84.85670001,11,10,Pgl347_KY | 347 | Pg347,NA
P. globosa,KY,349,349,Pgl349_KY,Pgl349_KY,Pgl349_KY,KY,349,Pgl349_KY,Pg349,"Edwards, Linan and Littlefield 349 (MO)","KY, Franklin, Near intersection of Camp Pleasant Rd. and Gregory Woods Rd. (EO23a)",Bluegrass,38.309999999999995,-84.8,38.31569499,-84.80877598,38.31569499,-84.80877598,24,22,Pgl349_KY | 349 | Pg349,NA
P. globosa,KY,350,350,Pgl350_KY,Pgl350_KY,Pgl350_KY,KY,350,Pgl350_KY,Pg350,"Edwards, Linan and Littlefield 350 (MO)","KY, Franklin, Bald Knob (EO07)",Bluegrass,38.2,-84.88,38.20885196,-84.88518599,38.208851960000004,-84.88518599,23,20,Pgl350_KY | 350 | Pg350,NA
